Última alteração;Tipo;Nome;Núcleo/Solicitante;Palavras-chave;link imagem da capa;link arquivo para download;subi no portal em
28/10/2025;Cartilha;Abordagem Policial: O que você precisa saber e como agir?;NEIJ, NCDH, NUPIR;Direitos Humanos, abordagem policial, violência policial, abordagem, juventude;https://www.defensoria.sp.def.br/documents/d/guest/capa_cartilha_abordagempolicial_28out25-1;https://www.defensoria.sp.def.br/documents/d/guest/cartilha_abordagempolicial_28out25;18/08/2026
01/10/2025;Cartilha;Direitos das mulheres à posse e propriedade de bens imóveis;NUDEM, NEHABURB;casa, bens imóveis, mulheres, direitos das mulheres, habitação, posse, propriedade;https://www.defensoria.sp.def.br/documents/d/guest/capa_cartilha_bensimoveis_01out25-1;https://www.defensoria.sp.def.br/documents/d/guest/cartilha_bensimoveis_01out25;18/08/2026
13/02/2025;Cartilha;Educação Escolar Quilombola - Resolução nº 8/2012 do Conselho Nacional de Educação: Diretrizes Curriculares Nacionais para a Educação Escolar Quilombola;NUPIR;educação, educação quilombola, conselho nacional de educação, infância;https://www.defensoria.sp.def.br/documents/d/guest/capa_cartilha_educacaoquilombola13fev25-1;https://www.defensoria.sp.def.br/documents/d/guest/cartilha_educacaoquilombola13fev25;18/08/2026
26/02/2025;Cartilha;Guia Rápido - Direitos das Mulheres - Estado de São Paulo;NUDEM;mulheres, direitos das mulheres, guia, violência, aborto legal, violência doméstica, violência familiar, violência sexual, violência obstétrica;https://www.defensoria.sp.def.br/documents/d/guest/capa_cartilha_guiarapidomulheres_26fev25-1;https://www.defensoria.sp.def.br/documents/d/guest/cartilha_guiarapidomulheres_26fev25;18/08/2026
02/12/2025;Cartilha;Discriminação LGBTQIAPN+;NUDIVERSIS;discriminação, lgbtqiapn+, violência, homofobia;https://www.defensoria.sp.def.br/documents/d/guest/capa_cartilha_lgbtq_02dez25-1;https://www.defensoria.sp.def.br/documents/d/guest/cartilha_lgbtq_02dez25;18/08/2026
11/09/2025;Cartilha;Lei Maria da Penha - Sua vida começa quando a violência termina. Estímulo à aplicação da Lei nº 11.340/2006;NUDEM;direitos das mulheres, lei maria da penha, violência doméstica, medidas protetivas, casa abrigo;https://www.defensoria.sp.def.br/documents/d/guest/capa_cartilha_mariapenha_11set2025jpg-1;https://www.defensoria.sp.def.br/documents/d/guest/cartilha_mariapenha_11set2025;18/08/2026
18/03/2026;Cartilha;Quesito Raça/Cor;NUPIR;raça, cor, quesito, desigualdade racial, racismo, tratamento de dados;https://www.defensoria.sp.def.br/documents/d/guest/capa_cartilha_racacor18mar26-1;https://www.defensoria.sp.def.br/documents/d/guest/cartilha_racacor18mar26;18/08/2026
22/01/2026;Cartilha;Meu nome, meu direito - Guia de Retificação de Registro Civil;NUDIVERSIS;registro civil, mudança de nome, cartório, gênero, nome, retificação;https://www.defensoria.sp.def.br/documents/d/guest/capa_cartilha_retificanome22jan26-1;https://www.defensoria.sp.def.br/documents/d/guest/cartilha_retificanome22jan26;18/08/2026
11/02/2025;Cartilha;Vamos falar sobre a saúde das mulheres negras? Mulheres negras, acesso à saúde e racismo. Cartilha voltada para mulheres negras e população em geral ;NUPIR, NUDEM;direitos das mulheres, saúde, racismo institucional, mulher negra, violência obstétrica, quilombola, preconceito, população;https://www.defensoria.sp.def.br/documents/d/guest/capa_cartilha_saudemulheresnegras_11fev25-1;https://www.defensoria.sp.def.br/documents/d/guest/cartilha_saudemulheresnegras_11fev25;18/08/2026
11/02/2025;Cartilha;Mulheres negras, acesso à saúde e racismo - Cartilha voltada para profissionais de saúde;NUPIR, NUDEM;direitos das mulheres, saúde, racismo institucional, mulher negra, violência obstétrica, quilombola, preconceito, profissionais de saúde;https://www.defensoria.sp.def.br/documents/d/guest/capa_cartilha_saudemulheresracismo_11fev25-1;https://www.defensoria.sp.def.br/documents/d/guest/cartilha_saudemulheresracismo_11fev25;18/08/2026
